symbol,current_price,predicted_price,percent_change,direction,confidence,signal_strength,recommendation,last_update,market_change,market_change_pct
CLOV,38.51,37.21803216552735,-3.3548892092252682,DOWN,0.5156166076660156,WEAK,HOLD,2025-11-27 00:43:59,-0.69,0
COLG,1280.0,1280.4091333536971,0.03196354325758932,UP,0.46988300085067747,WEAK,HOLD,2025-11-27 00:44:00,15.01,0
CPPL,98.37,100.18892076605704,1.8490604514150992,UP,0.40949485301971433,WEAK,HOLD,2025-11-27 00:44:01,-0.35,0
CRTM,26.78,23.746915130363316,-11.325933045693372,DOWN,0.35856691002845764,WEAK,HOLD,2025-11-27 00:44:01,1.97,0
CSAP,97.21,98.48758839014144,1.3142561363454852,UP,0.6283845841884612,MODERATE,HOLD,2025-11-27 00:44:02,0.21,0
CSIL,4.99,5.025339499185885,0.708206396510723,UP,0.42728919386863706,WEAK,HOLD,2025-11-27 00:44:02,0.02,0
CTM,6.22,6.471573005197838,4.044582077135662,UP,0.5164949238300324,WEAK,HOLD,2025-11-27 00:44:03,0.08,0
CWSM,37.22,38.76809046979004,4.1592973395756045,UP,0.42658774256706233,WEAK,HOLD,2025-11-27 00:44:03,-2.12,0
CYAN,48.69,49.180052749848244,1.0064751485895382,UP,0.6006749629974365,MODERATE,HOLD,2025-11-27 00:44:04,0.21,0
DAAG,89.9,91.66456608617307,1.9628098845084114,UP,0.5552896201610564,WEAK,HOLD,2025-11-27 00:44:04,-0.1,0
DADX,62.46,58.3723274491084,-6.544464538731354,DOWN,0.4706946432590484,WEAK,HOLD,2025-11-27 00:44:05,-0.57,0
DCL,12.99,12.853860902243106,-1.0480300058267449,DOWN,0.4479239702224731,WEAK,HOLD,2025-11-27 00:44:05,0.25,0
DCR,32.4,32.29221932365386,-0.3326564084757352,DOWN,0.4417708337306976,WEAK,HOLD,2025-11-27 00:44:06,0.03,0
DEL,23.69,30.48809701270024,28.69606168298961,UP,0.3769296050071716,WEAK,HOLD,2025-11-27 00:44:07,1.21,0
DFML,26.44,28.89268697142601,9.276425761823024,UP,0.43426469564437864,WEAK,HOLD,2025-11-27 00:44:07,0.24,0
DFSM,5.39,5.414990690455188,0.4636491735656397,UP,0.562073028087616,WEAK,HOLD,2025-11-27 00:44:08,0.19,0
DGKC,219.18,220.4212876005861,0.5663325123579273,UP,0.44578018784523005,WEAK,HOLD,2025-11-27 00:44:08,2.37,0
DINT,66.47,69.4416499042511,4.470663313150435,UP,0.6979376196861267,MODERATE,HOLD,2025-11-27 00:44:09,0.0,0
DLL,479.48,466.4354408068048,-2.7205637760063395,DOWN,0.4460004448890686,WEAK,HOLD,2025-11-27 00:44:09,-0.76,0
DNCC,24.12,19.91974561986481,-17.413989967393,DOWN,0.611775267124176,MODERATE,SELL,2025-11-27 00:44:10,0.23,0
DOL,34.08,32.22369031149931,-5.446918100060702,DOWN,0.6102361798286438,MODERATE,SELL,2025-11-27 00:44:11,-0.6,0
DSIL,13.42,12.212429123331148,-8.998292672644201,DOWN,0.6229649007320404,MODERATE,SELL,2025-11-27 00:44:11,-0.44,0
DSL,7.92,7.546815737486103,-4.711922506488599,DOWN,0.38306283950805664,WEAK,HOLD,2025-11-27 00:44:12,-0.01,0
DWSM,7.34,7.6919043495655055,4.794337187540949,UP,0.6559186339378357,MODERATE,HOLD,2025-11-27 00:44:12,-0.08,0
DWTM,5.99,6.285262754717486,4.929261347537328,UP,0.4809373259544372,WEAK,HOLD,2025-11-27 00:44:13,-0.4,0
DYNO,270.75,270.274307338697,-0.17569442707405894,DOWN,0.41105521917343135,WEAK,HOLD,2025-11-27 00:44:13,-3.25,0
ECOP,57.05,58.72316284552031,2.932800780929552,UP,0.6607755959033965,MODERATE,HOLD,2025-11-27 00:44:14,-0.47,0
EFERT,217.78,215.63891659567003,-0.9831405107585525,DOWN,0.637168538570404,MODERATE,HOLD,2025-11-27 00:44:14,-0.38,0
EFUG,123.72,124.23131221532822,0.4132817776658727,UP,0.5380814492702484,WEAK,HOLD,2025-11-27 00:44:15,0.05,0
EFUL,153.85,154.94929592746323,0.7145244897388568,UP,0.38271561861038206,WEAK,HOLD,2025-11-27 00:44:16,0.0,0
ELCM,231.03,196.8032557158419,-14.814848411097298,DOWN,0.4805198431015014,WEAK,HOLD,2025-11-27 00:44:16,1.14,0
ELSM,125.35,119.05776832580567,-5.019730095089211,DOWN,0.6870439291000365,MODERATE,SELL,2025-11-27 00:44:17,0.0,0
EMCO,71.37,67.47813488353927,-5.453082690851527,DOWN,0.36398146152496336,WEAK,HOLD,2025-11-27 00:44:17,0.96,0
EPCL,28.78,29.570722401657207,2.747471861213363,UP,0.418388831615448,WEAK,HOLD,2025-11-27 00:44:18,-0.26,0
EPQL,29.89,28.96340124832032,-3.100029279624224,DOWN,0.5899306416511535,WEAK,HOLD,2025-11-27 00:44:18,-0.06,0
ESBL,11.64,9.994025144489513,-14.140677452839242,DOWN,0.5641664922237396,WEAK,HOLD,2025-11-27 00:44:19,-0.8,0
EXIDE,645.12,631.5406080250231,-2.104940472311654,DOWN,0.38614802360534667,WEAK,HOLD,2025-11-27 00:44:19,-6.1,0
HBL,300.95,285.49885796516196,-5.134122623305542,DOWN,0.5969497859477997,WEAK,HOLD,2025-11-27 00:44:20,7.3,0
