symbol,avg_error_pct,direction_accuracy,count
ELCM,3.686463618195225,0.0,1
ELSM,0.3047014588744806,0.0,1
EMCO,1.5046449007543221,0.0,1
EPCL,2.1425062141662563,0.0,1
EPQL,3.383014101796167,0.0,1
ESBL,19.143862966699384,0.0,1
EXIDE,7.814987031949541,0.0,1
FABL,4.100744950880088,0.0,1
FANM,5.886733828755151,0.0,1
FATIMA,3.2590078128901605,0.0,1
FCCL,3.61264766521531,0.0,1
FCEPL,1.2690264334338575,0.0,1
FCIBL,15.771840945728552,0.0,1
FCSC,9.308263163991061,0.0,1
FECM,16.91283552190582,0.0,1
FECTC,8.636656744593862,0.0,1
FEM,3.9418007663549317,0.0,1
FEROZ,0.8027589979027533,0.0,1
FFC,12.563203195464492,0.0,1
FFL,0.5512937918666373,0.0,1
FFLM,2.003995625894927,0.0,1
FHAM,0.8701096623917572,0.0,1
FIBLM,0.22712430576725223,0.0,1
FIMM,7.551318926307378,0.0,1
FLYNG,3.6695976796430516,0.0,1
FML,1.2454373026951313,0.0,1
FNEL,3.8114550382966,0.0,1
FPJM,1.5666000858212858,0.0,1
FPRM,5.025900565660922,0.0,1
FRCL,13.72397809069678,0.0,1
FRSM,1.0863476291576954,0.0,1
FTMM,23.11544375596625,0.0,1
FTSM,3.124650434134404,0.0,1
FZCM,0.42414943464106175,0.0,1
GADT,5.828395635304047,0.0,1
GAMON,1.5307204521235165,0.0,1
GATI,1.8010235923459041,0.0,1
GATM,2.3017215452348996,0.0,1
GFIL,1.2029660771345696,0.0,1
GGGL,7.023369546042783,0.0,1
GGL,9.412113756543672,0.0,1
GHGL,1.1051841378750538,0.0,1
GHNI,0.356377076215503,0.0,1
GLAXO,0.45281571917852975,0.0,1
GLPL,5.631126482335682,0.0,1
GOC,4.438654604015739,0.0,1
GRYL,3.98146446720362,0.0,1
GTYR,2.428959640684606,0.0,1
GVGL,5.266000606308314,0.0,1
GWLC,6.386269400229894,0.0,1
HABSM,0.7826225320959903,0.0,1
HASCOL,2.178745918244415,0.0,1
HBL,2.741657842227118,0.0,1
HCAR,1.0508411713882588,0.0,1
HGFA,0.6206488435958997,0.0,1
HICL,2.445333209860836,0.0,1
HIFA,0.3697548035919728,0.0,1
HINO,0.28337323590932706,0.0,1
HINOON,0.556131561832345,0.0,1
HIRAT,1.8899218868121208,0.0,1
HMB,1.1107230397123689,0.0,1
HRPL,1.2521186869113896,0.0,1
HTL,2.089066522217183,0.0,1
HUBC,1.5439959860777392,0.0,1
HUMNL,0.5234763445657384,0.0,1
IBLHL,12.52267796444356,0.0,1
ICIBL,6.725358122652307,0.0,1
ICL,4.435547128567727,0.0,1
IDRT,1.689151069613953,0.0,1
IDSM,12.859002351760857,0.0,1
IDYM,0.8820121722590344,0.0,1
IGIHL,8.446332133054616,0.0,1
IGIL,9.66980077667461,0.0,1
ILP,1.4949807604073897,0.0,1
INDU,0.0456033146805379,0.0,1
INIL,0.25583222208476464,0.0,1
INKL,21.66475748566613,0.0,1
ISIL,0.6839199273201244,0.0,1
ISL,1.005939367950235,0.0,1
ITTEFAQ,0.5599536844755246,0.0,1
JATM,2.2885622288078706,0.0,1
JDMT,6.531950781058906,0.0,1
JDWS,0.4016867645195696,0.0,1
JGICL,1.4309891552645013,0.0,1
JKSM,1.371943372471047,0.0,1
JLICL,1.3443256919906037,0.0,1
JSBL,0.984258535819312,0.0,1
JSCL,0.3463585769712395,0.0,1
JSGCL,2.093117832109919,0.0,1
JSIL,6.068091762532765,0.0,1
JSML,6.597050990442332,0.0,1
JUBS,1.4767950054799226,0.0,1
JVDC,0.7446001439103108,0.0,1
KAPCO,0.8696897303525747,0.0,1
KCL,1.6347370403541044,0.0,1
KEL,2.2961515862924835,0.0,1
KHTC,1.7451182293994474,0.0,1
KHYT,5.643440261951045,0.0,1
KML,1.1461961743973226,0.0,1
KOHC,2.6460965876755638,0.0,1
KOHE,0.6589579582214355,0.0,1
KOHP,17.83050950480152,0.0,1
KOIL,9.905890239260142,0.0,1
KOSM,0.054637408494851346,0.0,1
KPUS,16.863658174706085,0.0,1
KSBP,3.803018588757482,0.0,1
KTML,20.98607458674173,0.0,1
LEUL,1.0173907764668404,0.0,1
LOADS,1.0844074400585952,0.0,1
LOTCHEM,0.056342345378825,0.0,1
LPGL,7.461978951051511,0.0,1
LPL,2.9137931752108566,0.0,1
LUCK,0.855804622449596,0.0,1
MACFL,1.917269750583269,0.0,1
MACTER,1.0881860967911818,0.0,1
MARI,0.22236212385835383,0.0,1
MCB,0.1552458529945824,0.0,1
MDTL,5.274730980478901,0.0,1
MEBL,2.7295662799747653,0.0,1
MEHT,6.725065969749982,0.0,1
MERIT,3.0373462882531674,0.0,1
MFFL,0.21277318707388576,0.0,1
MFL,28.23851693853612,0.0,1
MLCF,2.5126072709766754,0.0,1
MQTM,14.454653178047286,0.0,1
MRNS,4.3735146874474635,0.0,1
MSCL,6.255767930004296,0.0,1
MSOT,31.01148094598291,0.0,1
MTL,0.9863858394917034,0.0,1
MUGHAL,1.753550690141605,0.0,1
MUREB,0.38998044685615396,0.0,1
NAGC,5.247876442956816,0.0,1
NATF,1.5376585876736957,0.0,1
NBP,2.406562962331336,0.0,1
NCL,1.4124634483528447,0.0,1
NCML,0.7205117702484287,0.0,1
NCPL,1.580104032823896,0.0,1
NESTLE,0.42076749524995244,0.0,1
NETSOL,1.580803796251528,0.0,1
NEXT,20.547434850900775,0.0,1
NICL,0.02008935154786868,0.0,1
NML,4.058085241869631,0.0,1
NONS,1.4526148073068534,0.0,1
NPL,2.5114344170866048,0.0,1
NRL,10.091651460636735,0.0,1
NRSL,0.6355032996235684,0.0,1
NSRM,4.691339565711635,0.0,1
OGDC,1.331092149225881,0.0,1
