market,security_ticker,lot
REG,RCML,100
REG,REDCO,500
REG,REGAL,500
REG,REWM,500
REG,RICL,500
REG,RMPL,20
REG,RPL,500
REG,RUBY,500
REG,RUPL,500
REG,SAIF,500
REG,SALT,100
REG,SANE,500
REG,SANSM,500
REG,SAPL,50
REG,SAPT,50
REG,SARC,500
REG,SASML,500
REG,SAZEW,100
REG,SAZEWR,100
REG,SBL,500
REG,SCBPL,500
REG,SCHT,500
REG,SCL,100
REG,SDOT,500
REG,SEARL,1
REG,SEL,500
REG,SEPL,100
REG,SERF,500
REG,SERT,500
REG,SFAT,500
REG,SFL,50
REG,SGABL,100
REG,SGPL,500
REG,SHCI,500
REG,SHCM,500
REG,SHDT,500
REG,SHEL,100
REG,SHEZ,100
REG,SHFA,100
REG,SHJS,100
REG,SHNI,500
REG,SHSML,500
REG,SIBL,500
REG,SICL,500
REG,SIEM,50
REG,SILK,500
REG,SINDM,500
REG,SITC,100
REG,SKRS,500
REG,SLCL,500
REG,SLCPA,500
REG,SLL,500
REG,SLYT,500
REG,SMBL,500
REG,SMCPL,500
REG,SML,500
REG,SMTM,500
REG,SNAI,500
REG,SNBL,500
REG,SNGP,1
REG,SPEL,500
REG,SPL,500
REG,SPLC,500
REG,SPWL,500
REG,SRVI,50
REG,SSGC,500
REG,SSIC,500
REG,SSML,500
REG,SSOM,500
REG,STCL,500
REG,STJT,500
REG,STML,500
REG,STPL,500
REG,SUHJ,500
REG,SURAJ,500
REG,SURC,100
REG,SUTM,100
REG,SYS,100
REG,SZTM,500
REG,TAJT,500
REG,TATM,500
REG,TELE,500
REG,TGL,500
REG,THALL,100
REG,THCCL,500
REG,TICL,100
REG,TOMCL,500
REG,TOWL,500
REG,TPL,500
REG,TPLI,500
REG,TPLP,500
REG,TPLT,500
REG,TREET,500
REG,TRG,500
REG,TRIBL,500
REG,TRIPF,500
REG,TRPOL,500
REG,TRPOLR,500
REG,TRSM,500
REG,TSBL,500
REG,TSBLR,500
REG,TSMF,500
REG,TSML,500
REG,TSPL,500
REG,UBDL,500
REG,UBL,1
REG,UBLP-ETF,500
REG,UCAPM,500
REG,UDPL,500
REG,UNIC,500
REG,UNITY,500
REG,UPFL,20
REG,USMT,500
REG,UVIC,500
REG,WAHN,100
REG,WAVES,500
REG,WTL,500
REG,WYETH,50
REG,YOUW,500
REG,ZAHID,500
REG,ZELP,500
REG,ZHCM,500
REG,ZIL,100
REG,ZTL,500
