security_id,security_ticker,security_name,sector_id,sector
081502,DSML,Dar-es-Salaam Textile Mills Limited,0830,TEXTILE SPINNING
081503,DATM,Data Textiles Limited,0830,TEXTILE SPINNING
081504,DFSM,Dewan Farooque Spinning Mills Limited,0830,TEXTILE SPINNING
081505,DKTM,Dewan Khalid Textile Mills Limited,0830,TEXTILE SPINNING
081510,DMTM,Dewan Mushtaq Textile Mills Limited,0830,TEXTILE SPINNING
081520,DWTM,Dewan Textile Mills Limited,0830,TEXTILE SPINNING
081530,DINT,Din Textile Mills Limited,0830,TEXTILE SPINNING
081560,DMIL,D.M. Industries Limited,0830,TEXTILE SPINNING
081565,DSIL,D.S. Industries Limited,0830,TEXTILE SPINNING
081580,ELCM,Elahi Cotton Mills Limited,0830,TEXTILE SPINNING
081600,ELSM,Ellcot Spinning Mills Limited,0830,TEXTILE SPINNING
081630,FAEL,Fatima Enterprises Limited,0830,TEXTILE SPINNING
081680,FZCM,Fazal Cloth Mills Limited,0830,TEXTILE SPINNING
081725,GADT,Gadoon Textile Mills Limited,0830,TEXTILE SPINNING
081740,GLOT,Globe Textile Mills Limited,0830,TEXTILE SPINNING
081790,GUSM,Gulistan Spinning Mills Limited,0830,TEXTILE SPINNING
081800,GUTM,Gulistan Textile Mills Limited,0830,TEXTILE SPINNING
081820,GSPM,Gulshan Spinning Mills Limited,0830,TEXTILE SPINNING
081825,HMIM,Haji Mohammad Ismail Mills Limited,0830,TEXTILE SPINNING
081840,HAJT,Hajra Textile Mills Limited,0830,TEXTILE SPINNING
081910,IDSM,Ideal Spinning Mills Limited,0830,TEXTILE SPINNING
081913,IDRT,Idrees Textile Mills Limited,0830,TEXTILE SPINNING
081920,IDYM,Indus Dyeing & Manufacturing Co. Limited,0830,TEXTILE SPINNING
081960,ILTM,Island Textile Mills Limited,0830,TEXTILE SPINNING
081990,JATM,J.A. Textile Mills Limited,0830,TEXTILE SPINNING
081995,JKSM,J.K. Spinning Mills Limited,0830,TEXTILE SPINNING
082000,JDMT,Janana De Malucho Textile Mills Limited,0830,TEXTILE SPINNING
082080,AAL,Agro Allianz Limited,0830,TEXTILE SPINNING
082120,KSTM,Khalid Siraj Textile Mills Limited,0830,TEXTILE SPINNING
082140,KHSM,Khurshid Spinning Mills Limited,0830,TEXTILE SPINNING
082160,KOHTM,Kohat Textile Mills Limited,0830,TEXTILE SPINNING
082200,KOSM,Kohinoor Spinning Mills Limited,0830,TEXTILE SPINNING
082230,LMSM,Landmark Spinning Industries Limited,0830,TEXTILE SPINNING
082240,MQTM,Maqbool Textile Mills Limited,0830,TEXTILE SPINNING
082325,NATM,Nadeem Textile Mills Limited,0830,TEXTILE SPINNING
082340,NAGC,Nagina Cotton Mills Limited,0830,TEXTILE SPINNING
082365,NCML,Nazir Cotton Mills Limited,0830,TEXTILE SPINNING
082440,OML,Olympia Mills Limited,0818,MISCELLANEOUS
082460,PRET,Premium Textile Mills Limited,0830,TEXTILE SPINNING
082500,RAVT,Ravi Textile Mills Limited,0830,TEXTILE SPINNING
082545,RCML,Reliance Cotton Spinning Mills Limited,0830,TEXTILE SPINNING
082550,RUBY,Ruby Textile Mills Limited,0830,TEXTILE SPINNING
082570,SAIF,Saif Textile Mills Limited,0830,TEXTILE SPINNING
082620,SALT,Salfi Textile Mills Limited,0830,TEXTILE SPINNING
082640,SLYT,Sally Textile Mills Limited,0830,TEXTILE SPINNING
082650,SANE,Salman Noman Enterprises Limited,0830,TEXTILE SPINNING
082660,SNAI,Sana Industries Limited,0830,TEXTILE SPINNING
082720,SSML,Saritow Spinning Mills Limited,0830,TEXTILE SPINNING
082740,SERT,Service Industries Textiles Limited,0830,TEXTILE SPINNING
082780,SHDT,Shadab Textile Mills Limited,0830,TEXTILE SPINNING
082800,SHCM,Shadman Cotton Mills Limited,0830,TEXTILE SPINNING
082860,SZTM,Shahzad Textile Mills Limited,0830,TEXTILE SPINNING
082950,SUTM,Sunrays Textile Mills Limited,0830,TEXTILE SPINNING
082985,UNITY,Unity Foods Limited,0834,VANASPATI & ALLIED INDUSTRIES
082990,TATM,Tata Textile Mills Limited,0830,TEXTILE SPINNING
091010,ASHT,Ashfaq Textile Mills Limited,0831,TEXTILE WEAVING
091060,HKKT,Hakkim Textile Mills Limited,0831,TEXTILE WEAVING
091070,ICCI,ICC Industries Limited,0831,TEXTILE WEAVING
091130,MOHE,Mohib Exports Limited,0831,TEXTILE WEAVING
091160,FML,Feroze1888 Mills Limited,0829,TEXTILE COMPOSITE
091183,PRWM,Prosperity Weaving Mills Limited,0831,TEXTILE WEAVING
091190,SDOT,Sadoon Textile Industries Limited,0831,TEXTILE WEAVING
091198,SMTM,Samin Textiles Limited,0831,TEXTILE WEAVING
091200,SERF,Service Fabrics Limited,0831,TEXTILE WEAVING
091205,STJT,Shahtaj Textile Limited,0831,TEXTILE WEAVING
091220,YOUW,Yousaf Weaving Mills Limited,0831,TEXTILE WEAVING
091240,ZTL,Zephyr Textiles Limited,0831,TEXTILE WEAVING
101010,AHTM,Ahmad Hassan Textile Mills Limited,0829,TEXTILE COMPOSITE
101025,ADMM,Artistic Denim Mills Limited,0829,TEXTILE COMPOSITE
101030,ARUJ,Aruj Industries Limited,0829,TEXTILE COMPOSITE
101070,BHAT,Bhanero Textile Mills Limited,0829,TEXTILE COMPOSITE
101092,CHBL,Chenab Limited,0829,TEXTILE COMPOSITE
101095,CLCPS,Chenab Limited (Pref),0829,TEXTILE COMPOSITE
101120,COST,(Colony) Sarhad Textile Mills Limited,0829,TEXTILE COMPOSITE
101160,CRTM,The Crescent Textile Mills Limited,0829,TEXTILE COMPOSITE
101165,NCL,Nishat Chunian Limited,0829,TEXTILE COMPOSITE
101180,DLL,Dawood Lawrencepur Limited,0829,TEXTILE COMPOSITE
101185,REWM,Reliance Weaving Mills Limited,0829,TEXTILE COMPOSITE
101190,FSWL,Fateh Sports Wear Limited,0829,TEXTILE COMPOSITE
101195,FTHM,Fateh Textile Mills Limited,0829,TEXTILE COMPOSITE
101198,GFIL,Ghazi Fabrics International Limited,0829,TEXTILE COMPOSITE
101200,GATM,Gul Ahmed Textile Mills Limited,0829,TEXTILE COMPOSITE
101220,HAFL,Hafiz Limited,0829,TEXTILE COMPOSITE
101230,HAEL,Hala Enterprises Limited,0829,TEXTILE COMPOSITE
101240,HATM,Hamid Textile Mills Limited,0829,TEXTILE COMPOSITE
101260,HUSI,Husein Industries Limited,0829,TEXTILE COMPOSITE
101270,INKL,International Knitwear Limited,0829,TEXTILE COMPOSITE
101274,ILP,Interloop Limited,0829,TEXTILE COMPOSITE
101280,ANTM,AN Textile Mills Limited,0829,TEXTILE COMPOSITE
101300,JUBS,Jubilee Spinning & Weaving Mills Ltd.,0829,TEXTILE COMPOSITE
101310,KAKL,Kaiser Arts & Krafts Limited,0829,TEXTILE COMPOSITE
101320,KHYT,Khyber Textile Mills Limited,0829,TEXTILE COMPOSITE
101330,KML,Kohinoor Mills Limited,0829,TEXTILE COMPOSITE
101340,KOIL,Kohinoor Industries Limited,0829,TEXTILE COMPOSITE
101350,BTL,Blessed Textiles Limited,0829,TEXTILE COMPOSITE
101360,KTML,Kohinoor Textile Mills Limited,0829,TEXTILE COMPOSITE
101362,ANL,Azgard Nine Limited,0829,TEXTILE COMPOSITE
101365,MEHT,Mehmood Textile Mills Limited,0829,TEXTILE COMPOSITE
101367,ANLPS,Azgard Nine 8.95%(Pref),0829,TEXTILE COMPOSITE
101369,ANLNV,Azgard Nine Non-Voting Ordinary Shares,0829,TEXTILE COMPOSITE
101375,MTIL,Mian Textile Industries Limited,0829,TEXTILE COMPOSITE
101400,MFTM,Mohammad Farooq Textile Mills Limited,0829,TEXTILE COMPOSITE
101410,MUBT,Mubarak Textile Mills Limited,0829,TEXTILE COMPOSITE
101425,NINA,Nina Industries Limited,0829,TEXTILE COMPOSITE
101440,NML,Nishat Mills Limited,0829,TEXTILE COMPOSITE
101465,REDCO,Redco Textiles Limited,0829,TEXTILE COMPOSITE
101468,SFAT,Safa Textiles Limited,0829,TEXTILE COMPOSITE
101469,SFL,Sapphire Fibres Limited,0829,TEXTILE COMPOSITE
101470,SCHT,Schon Textiles Limited,0829,TEXTILE COMPOSITE
101480,STML,Shams Textile Mills Limited,0829,TEXTILE COMPOSITE
101510,SURC,Suraj Cotton Mills Limited,0829,TEXTILE COMPOSITE
101515,TAJT,Taj Textile Mills Limited,0829,TEXTILE COMPOSITE
101522,TOWL,Towellers Limited,0829,TEXTILE COMPOSITE
101525,USMT,Usman Textile Mills Limited,0829,TEXTILE COMPOSITE
101527,ZAHID,Zahidjee Textile Mills Limited,0829,TEXTILE COMPOSITE
101530,ZHCM,Zahur Cotton Mills Limited,0829,TEXTILE COMPOSITE
101625,FASM,Faisal Spinning Mills Limited,0829,TEXTILE COMPOSITE
102260,MSOT,Masood Textile Mills Limited,0829,TEXTILE COMPOSITE
102265,MSOTPS,Masood Textile (Pref),0829,TEXTILE COMPOSITE
102450,PASM,Paramount Spinning Mills Limited,0829,TEXTILE COMPOSITE
102480,QUET,Quetta Textile Mills Limited,0829,TEXTILE COMPOSITE
102700,SAPT,Sapphire Textile Mills Limited,0829,TEXTILE COMPOSITE
110980,BNWM,Bannu Woollen Mills Limited,0835,WOOLLEN
111080,BNL,Bunnys Limited,0835,WOOLLEN
120960,AGL,Agritech Limited,0805,CHEMICAL
120965,AGLNCPS,"Agritech Non-Voting (Pref) Class 'A""",0805,CHEMICAL
121000,AASM,Al-Abid Silk Mills Limited,0827,SYNTHETIC & RAYON
121040,DSFL,Dewan Salman Fibre Limited,0827,SYNTHETIC & RAYON
121070,GATI,Gatron (Industries) Limited,0827,SYNTHETIC & RAYON
121074,IBFL,Ibrahim Fibres Limited,0827,SYNTHETIC & RAYON
121110,NAFL,National Fibres Limited,0827,SYNTHETIC & RAYON
121120,NSRM,The National Silk & Rayon Mills Limited,0827,SYNTHETIC & RAYON
121180,PSYL,Pakistan Synthetics Limited,0827,SYNTHETIC & RAYON
121240,RUPL,Rupali Polyester Limited,0827,SYNTHETIC & RAYON
121242,SGABL,SG.Allied Businsses Limited,0827,SYNTHETIC & RAYON
121251,TRPOL,Tri-Star Polyester Limited,0827,SYNTHETIC & RAYON
