time,open,high,low,close,volume,date,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,Williams_R,returns,log_returns,price_change,price_change_pct,hl_spread,hl_spread_pct,oc_spread,oc_spread_pct,intraday_range,volume_sma_5,volume_sma_20,volume_ratio,volume_change,price_volume_corr,ROC_5,ROC_10,ROC_20,momentum_5,momentum_10,close_lag_1,volume_lag_1,returns_lag_1,close_lag_2,volume_lag_2,returns_lag_2,close_lag_3,volume_lag_3,returns_lag_3,close_lag_5,volume_lag_5,returns_lag_5,close_lag_10,volume_lag_10,returns_lag_10,close_mean_5,close_std_5,close_min_5,close_max_5,pct_from_high_5,pct_from_low_5,close_mean_10,close_std_10,close_min_10,close_max_10,pct_from_high_10,pct_from_low_10,close_mean_20,close_std_20,close_min_20,close_max_20,pct_from_high_20,pct_from_low_20,target_next_close,target_direction
26-Oct-18,14.89,15.0,14.61,14.73,49500.0,2018-10-26,15.657999999999998,15.643,17.0845,21.0522,16.15588646203331,17.860389374090925,31.202046035805623,-1.7045029120576167,-1.7848219758569932,0.08031906379937648,21.198985195142892,17.0845,12.970014804857104,-94.29347826086955,-0.03282994090610636,-0.03338093643253153,-0.5,-3.282994090610636,0.39000000000000057,2.6476578411405334,-0.16000000000000014,-1.0745466756212232,0.026694045174538026,60400.0,53225.0,0.9300140911225928,-0.20799999999999996,0.00016137116128457526,-11.05072463768115,-6.1185468451242775,-32.275862068965516,-1.8299999999999983,-0.9599999999999991,15.23,62500.0,-0.055796652200867825,16.13,70000.0,0.033974358974358854,15.6,57500.0,-0.06024096385542177,16.56,34000.0,0.006686930091185372,15.69,75500.0,-0.05991611743559022,15.657999999999998,0.7344862149841322,14.73,16.6,-11.26506024096386,0.0,15.643,0.7758300214737397,14.69,16.6,-11.26506024096386,0.2722940776038184,17.0845,2.0572425975714475,14.69,21.56,-31.679035250463816,0.2722940776038184,15.73,1
29-Oct-18,15.65,15.73,14.0,15.73,241500.0,2018-10-29,15.484,15.747,16.793,20.8116,16.09036546787434,17.702582753787894,39.76878612716764,-1.6122172859135553,-1.7503010378683057,0.13808375195475042,20.36239682358348,16.793,13.223603176416518,-56.641604010025034,0.0678886625933468,0.06568348659564746,1.0,6.7888662593346805,1.7300000000000004,10.998092816274637,0.08000000000000007,0.5111821086261985,0.1235714285714286,96200.0,62525.0,3.862455017992803,3.878787878787879,-0.13165129425710015,-5.240963855421692,7.079646017699122,-27.040816326530603,-0.870000000000001,1.040000000000001,14.73,49500.0,-0.03282994090610636,15.23,62500.0,-0.055796652200867825,16.13,70000.0,0.033974358974358854,16.6,62500.0,0.0024154589371983004,14.69,61000.0,-0.0637348629700446,15.484,0.5301697841274288,14.73,16.13,-2.479851208927456,6.788866259334691,15.747,0.6998737981458318,14.72,16.6,-5.240963855421692,6.86141304347826,16.793,1.7846984117917408,14.69,20.5,-23.268292682926827,7.079646017699122,16.73,1
30-Oct-18,16.73,16.73,16.73,16.73,30500.0,2018-10-30,15.709999999999999,15.947999999999999,16.605,20.5636,16.188770780509056,17.630539586840644,48.524590163934434,-1.4417688063315879,-1.6885945915609624,0.24682578522937448,19.721918181050903,16.605,13.488081818949098,-31.57894736842102,0.06357279084551815,0.061633797928546175,1.0,6.357279084551815,0.0,0.0,0.0,0.0,0.0,90800.0,60650.0,0.5028854080791426,-0.8737060041407867,-0.16702106122964547,7.243589743589748,13.654891304347824,-18.350414836505603,1.1300000000000008,2.01,15.73,241500.0,0.0678886625933468,14.73,49500.0,-0.03282994090610636,15.23,62500.0,-0.055796652200867825,15.6,57500.0,-0.06024096385542177,14.72,81500.0,0.002042205582028611,15.709999999999999,0.775886589651937,14.73,16.73,0.0,13.577732518669382,15.947999999999999,0.6596261567467145,14.73,16.73,0.0,13.577732518669382,16.605,1.5584590905254516,14.69,20.5,-18.39024390243902,13.886997957794426,17.73,1
31-Oct-18,17.73,17.73,17.35,17.73,125000.0,2018-10-31,16.03,16.149,16.466500000000003,20.3632,16.425882968123048,17.63790702485245,55.28455284552845,-1.2120240567294012,-1.5932804845946502,0.38125642786524905,19.056279710200393,16.466500000000003,13.876720289799612,-0.0,0.059772863120143516,0.05805460508738398,1.0,5.977286312014352,0.379999999999999,2.14326001128031,0.0,0.0,0.021902017291066223,101800.0,64675.0,1.932740626207963,3.0983606557377046,-0.0733881452537715,9.919404835709866,12.786259541984732,-13.512195121951217,1.6000000000000014,2.01,16.73,30500.0,0.06357279084551815,15.73,241500.0,0.0678886625933468,14.73,49500.0,-0.03282994090610636,16.13,70000.0,0.033974358974358854,15.72,25000.0,0.06793478260869557,16.03,1.2041594578799348,14.73,17.73,0.0,20.36659877800407,16.149,0.8586481623252191,14.73,17.73,0.0,20.36659877800407,16.466500000000003,1.2948898551001953,14.69,19.49,-9.030271934325286,20.694349897889726,18.73,1
01-Nov-18,18.73,18.73,18.73,18.73,19000.0,2018-11-01,16.73,16.377000000000002,16.4285,20.2088,16.780362511488732,17.718802800789305,65.44715447154472,-0.9384402893005728,-1.4623124455358347,0.523872156235262,18.84820224353444,16.4285,14.008797756465558,-0.0,0.056401579244218736,0.05486839636988053,1.0,5.640157924421874,0.0,0.0,0.0,0.0,0.0,93100.0,63000.0,0.30158730158730157,-0.848,-0.1352860524174638,22.980958634274458,13.860182370820676,-3.8994356080040946,3.5,2.280000000000001,17.73,125000.0,0.059772863120143516,16.73,30500.0,0.06357279084551815,15.73,241500.0,0.0678886625933468,15.23,62500.0,-0.055796652200867825,16.45,52500.0,0.04643765903307884,16.73,1.5811388300847156,14.73,18.73,0.0,27.155465037338764,16.377000000000002,1.18727559283057,14.73,18.73,0.0,27.155465037338764,16.4285,1.2098511217672205,14.69,18.73,0.0,27.50170183798503,19.73,1
02-Nov-18,19.73,19.73,19.73,19.73,4500.0,2018-11-02,17.73,16.694,16.4815,20.078,17.23415289433662,17.867780371101208,75.60975609756098,-0.6336274767645875,-1.2965754517815853,0.6629479750169978,19.14234493901296,16.4815,13.82065506098704,-0.0,0.05339028296849979,0.05201380357852689,1.0,5.339028296849979,0.0,0.0,0.0,0.0,0.0,84100.0,58300.0,0.07718696397941681,-0.7631578947368421,-0.32641666586679974,33.944331296673454,19.1425120772947,5.677557579003742,5.0,3.1700000000000017,18.73,19000.0,0.056401579244218736,17.73,125000.0,0.059772863120143516,16.73,30500.0,0.06357279084551815,14.73,49500.0,-0.03282994090610636,16.56,34000.0,0.006686930091185372,17.73,1.5811388300846994,15.73,19.73,0.0,25.429116338207248,16.694,1.5948124236613432,14.73,19.73,0.0,33.944331296673454,16.4815,1.3304224695064806,14.69,19.73,0.0,34.30905377808033,20.73,1
05-Nov-18,20.73,20.73,20.73,20.73,8500.0,2018-11-05,18.73,17.107,16.6345,19.9826,17.77197552597714,18.079796639908526,77.79833487511563,-0.3078211139313858,-1.0988245842115454,0.7910034702801596,19.872416646629986,16.6345,13.396583353370012,-0.0,0.05068423720223003,0.04944160641316417,1.0,5.068423720223003,0.0,0.0,0.0,0.0,0.0,37500.0,56025.0,0.15171798304328424,0.8888888888888888,-0.3851896687946174,31.786395422759057,24.879518072289148,17.31748726655347,5.0,4.129999999999999,19.73,4500.0,0.05339028296849979,18.73,19000.0,0.056401579244218736,17.73,125000.0,0.059772863120143516,15.73,241500.0,0.0678886625933468,16.6,62500.0,0.0024154589371983004,18.73,1.581138830084683,16.73,20.73,0.0,23.90914524805738,17.107,2.040305260384712,14.73,20.73,0.0,40.73319755600814,16.6345,1.6189583233149933,14.69,20.73,0.0,41.116405718175635,21.76,1
06-Nov-18,21.76,21.76,21.76,21.76,35000.0,2018-11-06,19.736,17.723,16.8475,19.9036,18.385517752749887,18.3524042962116,77.85977859778598,0.03311345653828823,-0.8724369760615787,0.9055504325998669,20.805537126497704,16.8475,12.889462873502296,-0.0,0.04968644476603967,0.04849149554005377,1.0300000000000011,4.968644476603967,0.0,0.0,0.0,0.0,0.0,38400.0,56800.0,0.6161971830985915,3.117647058823529,-0.35826144668383536,30.065750149432162,39.4871794871795,24.342857142857152,5.030000000000001,6.160000000000002,20.73,8500.0,0.05068423720223003,19.73,4500.0,0.05339028296849979,18.73,19000.0,0.056401579244218736,16.73,30500.0,0.06357279084551815,15.6,57500.0,-0.06024096385542177,19.736,1.5906539535680002,17.73,21.76,0.0,22.729836435420196,17.723,2.4278570798129935,14.73,21.76,0.0,47.72572980312289,16.8475,1.9790185632488515,14.69,21.76,0.0,48.12797821647381,22.84,1
07-Nov-18,22.84,22.84,21.8,22.84,591500.0,2018-11-07,20.758,18.394,17.139499999999998,19.8426,19.07082271386529,18.684818792788516,78.55227882037534,0.3860039210767745,-0.620748796633908,1.0067527177106825,21.920939884430055,17.139499999999998,12.358060115569941,-0.0,0.049632352941176405,0.04843996280006753,1.0799999999999983,4.9632352941176405,1.0399999999999991,4.5534150612959685,0.0,0.0,0.047706422018348585,131700.0,85375.0,6.928257686676427,15.899999999999999,0.3966452207262655,28.821206993795823,41.59950402975822,34.35294117647059,5.109999999999999,6.710000000000001,21.76,35000.0,0.04968644476603967,20.73,8500.0,0.05068423720223003,19.73,4500.0,0.05339028296849979,17.73,125000.0,0.059772863120143516,16.13,70000.0,0.033974358974358854,20.758,1.620885560427218,18.73,22.84,0.0,21.943406300053386,18.394,2.8322358658837348,14.73,22.84,0.0,55.057705363204335,17.139499999999998,2.3907199422150285,14.69,22.84,0.0,55.47991831177672,22.23,0
08-Nov-18,23.71,23.71,21.8,22.23,228500.0,2018-11-08,21.458000000000002,19.094,17.4165,19.7686,19.556849988655248,18.947424808137512,74.25149700598803,0.6094251805177358,-0.3747140012035793,0.984139181721315,22.70346221602555,17.4165,12.12953778397445,-15.242018537590116,-0.026707530647985922,-0.02707065681170419,-0.6099999999999994,-2.670753064798592,1.9100000000000001,8.591992802519119,-1.4800000000000004,-6.2420919443272895,0.08761467889908257,173600.0,95775.0,2.3858000522056906,-0.613693998309383,0.4474052834460784,18.686599038974904,45.961917268548916,33.19352905931695,3.5,7.0,22.84,591500.0,0.049632352941176405,21.76,35000.0,0.04968644476603967,20.73,8500.0,0.05068423720223003,18.73,19000.0,0.056401579244218736,15.23,62500.0,-0.055796652200867825,21.458000000000002,1.23623217884078,19.73,22.84,-2.670753064798596,12.671059300557527,19.094,2.8283886264480227,14.73,22.84,-2.670753064798596,50.91649694501018,17.4165,2.6434811080127742,14.69,22.84,-2.670753064798596,51.327433628318595,22.65,1
09-Nov-18,22.0,23.34,22.0,22.65,302500.0,2018-11-09,22.042,19.886,17.764499999999998,19.727199999999996,20.032719221169824,19.221689637164364,75.06213753106877,0.8110295840054604,-0.13756528416177133,0.9485948681672318,23.472453730494962,17.764499999999998,12.056546269505034,-10.916580844490237,0.018893387314439902,0.018717123952937773,0.41999999999999815,1.8893387314439902,1.3399999999999999,5.916114790286976,0.6499999999999986,2.9545454545454484,0.060909090909090906,233200.0,107125.0,2.823803967327888,0.3238512035010941,0.5189900854888677,14.79979726305118,53.767820773930744,44.35946462715105,2.919999999999998,7.919999999999998,22.23,228500.0,-0.026707530647985922,22.84,591500.0,0.049632352941176405,21.76,35000.0,0.04968644476603967,19.73,4500.0,0.05339028296849979,14.73,49500.0,-0.03282994090610636,22.042,0.8430124554248251,20.73,22.84,-0.8318739054290774,9.26193921852387,19.886,2.5674466347366733,15.73,22.84,-0.8318739054290774,43.99237126509853,17.764499999999998,2.853976865247482,14.69,22.84,-0.8318739054290774,54.18652144315861,21.52,0
12-Nov-18,22.5,22.6,21.52,21.52,95500.0,2018-11-12,22.2,20.465,18.106,19.6598,20.26153164868216,19.39193484922626,74.26229508196722,0.8695967994558984,0.06386713256176262,0.8057296668941358,23.856556586334005,18.106,12.355443413665999,-22.55406797116376,-0.049889624724061776,-0.051177116635459326,-1.129999999999999,-4.988962472406177,1.0800000000000018,5.018587360594804,-0.9800000000000004,-4.355555555555558,0.05018587360594804,250600.0,108850.0,0.8773541570969223,-0.684297520661157,0.4907581526599262,3.8109020742884665,36.80864589955498,46.49421375085092,0.7899999999999991,5.789999999999999,22.65,302500.0,0.018893387314439902,22.23,228500.0,-0.026707530647985922,22.84,591500.0,0.049632352941176405,20.73,8500.0,0.05068423720223003,15.73,241500.0,0.0678886625933468,22.2,0.5632495006667876,21.52,22.84,-5.779334500875658,0.0,20.465,2.144016220916741,16.73,22.84,-5.779334500875658,28.631201434548707,18.106,2.875278293167002,14.72,22.84,-5.779334500875658,46.19565217391303,22.09,1
13-Nov-18,21.1,22.57,20.45,22.09,277000.0,2018-11-13,22.266,21.001,18.4745,19.6164,20.54283447196183,19.591791527061353,74.34640522875819,0.9510429449004754,0.24130229502950518,0.7097406498709702,24.255934806434347,18.4745,12.69306519356565,-16.683831101956752,0.026486988847583604,0.0261422821384421,0.5700000000000003,2.6486988847583604,2.120000000000001,9.597102761430516,0.9899999999999984,4.691943127962078,0.10366748166259174,299000.0,118625.0,2.33508956796628,1.900523560209424,0.5357456525539503,1.5165441176470509,32.03825463239689,50.06793478260869,0.3299999999999983,5.359999999999999,21.52,95500.0,-0.049889624724061776,22.65,302500.0,0.018893387314439902,22.23,228500.0,-0.026707530647985922,21.76,35000.0,0.04968644476603967,16.73,30500.0,0.06357279084551815,22.266,0.5161685771154446,21.52,22.84,-3.2837127845884413,2.6486988847583657,21.001,1.7380925048898281,17.73,22.84,-3.2837127845884413,24.59108855047941,18.4745,2.8907174032171747,14.73,22.84,-3.2837127845884413,49.96605566870332,21.7,0
14-Nov-18,21.66,22.75,21.47,21.7,219000.0,2018-11-14,22.038,21.398,18.7735,19.5842,20.720859937813852,19.7479551176494,77.57885763000853,0.9729048201644517,0.3876228000564945,0.5852820201079572,24.573631668196775,18.7735,12.973368331803222,-20.700308959835237,-0.017655047532820323,-0.017812756885611982,-0.39000000000000057,-1.7655047532820323,1.2800000000000011,5.898617511520743,0.03999999999999915,0.18467220683286772,0.059618071727992605,224500.0,128325.0,1.706604324956166,-0.20938628158844763,0.5353907230548706,-4.991243432574433,22.39142695995487,38.04071246819337,-1.1400000000000006,3.969999999999999,22.09,277000.0,0.026486988847583604,21.52,95500.0,-0.049889624724061776,22.65,302500.0,0.018893387314439902,22.84,591500.0,0.049632352941176405,17.73,125000.0,0.059772863120143516,22.038,0.44628466252090004,21.52,22.65,-4.194260485651212,0.836431226765798,21.398,1.3081692041419477,18.73,22.84,-4.991243432574433,15.856914041644416,18.7735,2.900065834098388,14.73,22.84,-4.991243432574433,47.318397827562784,21.21,0
