ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0034601010,PAEL,Pak Elektron Ltd. ,34.56,0.4,248840743,8599936078.08,497681485,17199872121.6,12493000
PK0109201019,SINDM,Sindh Modaraba.(XD) ,8.86,0.01,4500000,39870000.0,45000000,398700000.0,28500
PK0033301018,SITC,Sitara Chemicals. ,321.96,0.16,7500292,2414794012.32,21429524,6899449547.04,3100
PK0043301016,SKRS,Sakrand Sugar Mills Ltd. ,9.03,0.01,11154000,100720620.0,44616000,402882480.0,30000
PK0100001012,SMCPL,Safe Mix Concrete Ltd. ,7.07,0.0,8750000,61862500.0,25000000,176750000.0,500
PK0024101013,SML,Shakarganj Limited. ,40.0,0.12,56250000,2250000000.0,125000000,5000000000.0,500
PK0035101010,SNAI,Sana Industries Ltd. ,43.49,0.01,3437500,149496875.0,8593750,373742187.5,0
PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,61.33,0.9,285397499,17503428613.67,634216665,38896508064.45,1472184
PK0109101011,SPEL,Synthetic Products Enterprises Ltd. ,43.79,0.09,26546520,1162472110.8,88488400,3874907036.0,45500
PK0090401016,SPL,Sitara Peroxide Limited ,23.49,0.03,33060000,776579400.0,55100000,1294299000.0,392500
PK0002801014,SSGC,Sui Southern Gas Co Ltd. ,16.18,0.33,325063387,5259525601.66,880916400,14253227352.0,745000
PK0024001015,STCL,Shabbir Tiles and Ceramics Limited. ,13.36,0.07,131626261,1758526846.96,239320620,3197323483.2,1606000
PK0057401017,STJT,Shahtaj Textile Ltd. ,110.49,0.02,1449000,160100010.0,9660000,1067333400.0,500
PK0016601012,STML,Shams Textile Mills Ltd. ,30.0,0.01,2592000,77760000.0,8640000,259200000.0,0
PK0084901013,STPL,Siddiqsons Tin Plate Ltd. ,12.28,0.07,103175447,1266994489.16,229278733,2815542841.24,1389500
PK0057601012,SUTM,Sunrays Textile Mills Ltd. ,275.95,0.04,690000,190405500.0,6900000,1904055000.0,0
PK0109001013,SYS,Systems Limited. ,284.1,0.81,74060941,21040713338.1,123434902,35067855658.2,87200
PK0027601019,SZTM,Shahzad Textile Mills Ltd. ,35.2,0.01,898569,31629628.8,17971372,632592294.4,0
PK0049501015,TATM,Tata Textile Mills Ltd. ,36.6,0.01,5197425,190225755.0,17324750,634085850.0,0
PK0080801019,THCCL,Thatta Cement Company Ltd. ,22.38,0.05,49859063,1115845829.94,99718125,2231691637.5,195000
PK0073301019,TOWL,Towellers  Ltd. ,69.0,0.03,6800000,469200000.0,17000000,1173000000.0,500
PK0022801010,TREET,Treet Corporation Ltd. ,24.69,0.1,67932529,1677254141.01,169831322,4193135340.18,2572500
PK0058201010,TRPOL,Tri-Star Polyester Ltd. ,8.59,0.01,39815441,342014638.19,56879201,488592336.59,714000
PK0049701011,TRSM,Trust Mod. ,2.99,0.0,23840000,71281600.0,29800000,89102000.0,1000
PK0039301012,UDPL,United Distributors Pakistan. ,40.0,0.03,8817783,352711320.0,35271134,1410845360.0,2000
PK0068801015,UNITY,Unity Foods Limited. ,17.16,0.4,497025000,8528949000.0,994050000,17057898000.0,34986500
PK0076901013,UPFL,Unilever Pakistan Foods Ltd. ,14749.5,2.18,220733,3255701383.5,6369932,93953312034.0,40
PK0030901018,WAHN,Wah Noble Chemicals Ltd. ,231.54,0.05,3150000,729351000.0,9000000,2083860000.0,12300
PK0030801010,WAVES,WAVES Singer Pakistan Ltd. ,27.7,0.12,56281218,1558989738.6,187604059,5196632434.3,1335000
PK0084301016,WTL,Worldcall Telecom Ltd. ,1.15,0.05,1475252335,1696540185.25,1805921917,2076810204.55,13333500
PK0033501013,ZIL,ZIL Limited. ,108.39,0.02,2142910,232270014.9,6122600,663628614.0,13500
