ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0008401017,PPP,Pakistan Paper Products Ltd. ,89.88,0.01,4400000,395472000.00,8000000,719040000.0,46500
PK0010101019,PPVC,Pakistan PVC [ DEFAULTER SEGMENT ],2.81,0.0,2532980,7117673.80,14958000,42031980.0,0
PK0118101010,PREMA,At-Tahur Ltd. ,21.4,0.05,40331450,863093030.00,161333700,3452541180.0,35500
PK0038301013,PRET,Premium Textile Mills Ltd. ,224.67,0.02,2157050,484624423.50,6163000,1384641210.0,100
PK0042601010,PRIC,Progressive Insurance Co Ltd. [ DEFAULTER SEGMENT ],1.13,0.0,3825000,4322250.00,8500000,9605000.0,0
PK0004701014,PRL,Pakistan Refinery Ltd. ,18.23,0.15,189000000,3445470000.00,630000000,11484900000.0,6874000
PK0072401018,PRWM,Prosperity Weaving Mills Ltd. ,35.0,0.01,2772000,97020000.00,18480000,646800000.0,0
PK0008501014,PSEL,Pakistan Services Limited. ,950.0,0.41,21140711,20083675450.00,32524250,30898037500.0,0
PK0030501016,PSMC,Pak Suzuki Motors Co Ltd. ,198.28,0.21,21766291,4315820179.48,82299851,16318414456.28,707000
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,1.28,211262985,43963827178.50,469473300,97697393730.0,3059913
PK0104801011,PSX,Pakistan Stock Exchange Limited. ,14.98,0.16,480885960,7203671680.80,801476600,12006119468.0,699000
PK0042401015,PSYL,Pakistan Synthentics Ltd. ,17.05,0.02,21015000,358305750.00,84060000,1433223000.0,7500
PK0067901022,PTC,Pakistan Telecommunication Co. ,9.96,0.49,592081669,5897133423.24,3774000000,37589040000.0,2651500
PK0018501012,QUET,Quetta Textile Mills Ltd. ,7.2,0.0,7150000,51480000.00,13000000,93600000.0,1000
PK0068101010,QUICE,Quice Food Industries Ltd. ,4.74,0.01,68923280,326696347.20,98461828,466709064.72,282000
PK0038401011,RAVT,Ravi Textile Mills Ltd. [ DEFAULTER SEGMENT ],4.3,0.0,8750000,37625000.00,25000000,107500000.0,0
PK0061501018,RCML,Reliance Cotton Spinning Mills. ,126.5,0.02,1029200,130193800.00,10292000,1301938000.0,0
PK0061401011,REDCO,Redco Textile Ltd. ,6.04,0.0,7214300,43574372.00,49292600,297727304.0,237500
PK0056601013,REWM,Reliance Weaving Mills Ltd. ,28.01,0.01,6162187,172602857.87,30810938,863014373.38,5500
PK0027501011,RICL,Reliance Insurance. ,7.14,0.01,39298900,280594146.00,56141284,400848767.76,26500
PK0032001015,RMPL,Rafhan Maize Products Ltd. ,8350.0,1.01,461821,3856205350.00,9236400,77123940000.0,60
PK0114201012,RPL,Roshan Packages Limited. ,35.96,0.07,44289675,1592656713.00,141900000,5102724000.0,601000
PK0056801019,RUBY,Ruby Textile Mills Ltd. ,7.28,0.0,2610720,19006041.60,52214400,380120832.0,7500
PK0043001012,RUPL,Rupali Polyester Ltd. ,17.23,0.01,8517129,146750132.67,34068500,587000255.0,1000
PK0056901017,SAIF,Saif Textile Mills Ltd. ,15.24,0.01,13206440,201266145.60,26412900,402532596.0,20000
PK0016201011,SALT,Salfi Textile Mills Ltd. ,181.56,0.01,334257,60687700.92,3342570,606877009.2,0
PK0049101014,SANE,Salman Noman Enterprises Ltd. [ DEFAULTER SEGMENT ],2.0,0.0,1563463,3126926.00,4467036,8934072.0,0
PK0038601016,SANSM,Sanghar Sugar Mills Ltd. ,16.99,0.0,7167600,121777524.00,11946000,202962540.0,0
PK0021801011,SAPL,Sanofi-Aventis Pakistan Ltd. ,819.9,0.1,1446714,1186160808.60,9644800,7907771520.0,50
PK0020601016,SAPT,Sapphire Textile Mills Ltd. ,800.01,0.23,2168979,1735204889.79,21689791,17352049697.91,50
PK0068501011,SARC,Sardar Chemical IndustriesLtd. ,17.9,0.0,1800000,32220000.00,6000000,107400000.0,2000
PK0033201010,SASML,Sindh Abadgars Sugar Mills Ltd. ,12.41,0.0,1042500,12937425.00,10425000,129374250.0,0
PK0075801016,SAZEW,Sazgar Engineering Works Ltd. ,178.97,0.08,12518395,2240417153.15,35766841,6401191533.77,748000
PK0079401011,SBL,Samba Bank Limited. ,7.2,0.1,151235797,1088897738.40,1008238648,7259318265.6,1000
PK0087901010,SCBPL,Standard Chartered Bank Pak Ltd. ,33.05,1.68,193579251,6397794245.55,3871585021,127955884944.05,105000
PK0021501017,SCL,Shield Corporation Ltd. ,268.21,0.01,390000,104601900.00,3900000,1046019000.0,5500
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,0.73,95591360,25055451369.60,212425272,55678788043.92,587508
PK0073001015,SEL,Sitara Enengy Ltd. ,20.19,0.01,10500600,212007114.00,19092000,385467480.0,0
PK0011101018,SEPL,Security Papers Ltd. ,204.9,0.16,23702394,4856620530.60,59255985,12141551326.5,700
PK0038701014,SERF,Service Fabrics Ltd. ,10.63,0.0,9507450,101064193.50,15754800,167473524.0,202000
PK0016501014,SERT,Service Textile Mills Ltd. ,9.5,0.0,1384223,13150118.50,4449200,42267400.0,0
PK0068301016,SFAT,Safa Textiles Ltd. [ DEFAULTER SEGMENT ],1.89,0.0,1200000,2268000.00,4000000,7560000.0,0
PK0043401014,SFL,Sapphire Fibres Mills Ltd. ,681.01,0.19,2067188,1407775699.88,20671875,14077753593.75,50
PK0075701018,SGABL,S.G. Allied Businesses Limited [ DEFAULTER SEGMENT ],126.0,0.02,6750000,850500000.00,15000000,1890000000.0,0
PK0072601013,SGPL,S. G. Power Ltd. [ DEFAULTER SEGMENT ],1.55,0.0,2758680,4275954.00,17833200,27641460.0,0
PK0075901014,SHCI,Shaffi Chemical Ind. Ltd. [ DEFAULTER SEGMENT ],6.49,0.0,2400000,15576000.00,12000000,77880000.0,0
PK0043601019,SHCM,Shadman Cotton Mills Ltd. ,7.44,0.0,881836,6560859.84,17636800,131217792.0,0
PK0030701012,SHDT,Shadab Textile Mills Ltd. ,33.74,0.01,5810000,196029400.00,16600000,560084000.0,10000
PK0016701010,SHEL,Shell Pakistan Ltd. ,227.13,0.32,22327355,5071212141.15,107012330,24305710512.9,317500
PK0038801012,SHEZ,Shezan International Ltd. ,320.54,0.04,4227324,1355026434.96,8784600,2815815684.0,3700
PK0072901017,SHFA,Shifa Int. Hospital Ltd. ,230.15,0.19,34086187,7844935938.05,61974886,14263520012.9,10300
PK0011201016,SHJS,Shahtaj Suger Mills Ltd. ,90.97,0.01,4804438,437059724.86,12011200,1092658864.0,2200
PK0076001012,SHNI,Shaheen Insurance Co Ltd. ,4.37,0.0,15818521,69126936.77,60000000,262200000.0,7000
PK0029201016,SHSML,Shahmurad Sugar Mills Ltd. ,101.25,0.03,9503398,962219047.50,21118800,2138278500.0,9500
PK0057201011,SIBL,Security Investment Bank Ltd. ,7.93,0.01,15430067,122360431.31,51433559,407868122.87,0
PK0022701012,SIEM,Siemens (Pak) Eng. Co. Ltd. ,537.99,0.06,2061759,1109205724.41,8247037,4436823435.63,2500
PK0072501015,SILK,Silk Bank Limited. ,0.95,0.11,3178651433,3019718861.35,9081861237,8627768175.15,1067000
PK0061101017,786,786 Investments Limited ,12.71,0.0,5989500,76126545.00,14973750,190316362.5,65000
PK0050501011,AABS,Al-Abbas Sugar Mills Ltd. ,301.34,0.07,1736230,523195548.20,17362300,5231955482.0,1500
PK0036101019,AASM,Al-Abid Silk Mills Limited. [ DEFAULTER SEGMENT ],3.49,0.0,2681910,9359865.90,13409550,46799329.5,0
PK0011501019,AATM,Ali Asghar Textile Mills Ltd. [ DEFAULTER SEGMENT ],2.07,0.0,926222,1917279.54,44426694,91963256.58,0
PK0083501012,ABL,Allied Bank Ltd. ,86.0,1.3,171761075,14771452450.00,1145073830,98476349380.0,3000
PK0025701019,ABOT,Abbott Laboratories Pak Ltd. ,761.55,0.98,21028966,16014609057.30,97900302,74555974988.1,7900
PK0078501019,ACPL,Attock Cement Pak Ltd. ,164.62,0.3,27485392,4524645231.04,137426961,22623226319.82,59800
PK0010901012,ADAMS,Adam Sugar Mills Limited. [ DEFAULTER SEGMENT ],23.97,0.01,4322741,103616101.77,17291008,414465461.76,2000
PK0069501010,ADMM,Artistic Denim Mills Limited. ,60.17,0.07,4200000,252714000.00,84000000,5054280000.0,19000
PK0062201014,ADOS,Ados Pakistan Limited. ,23.75,0.0,1316520,31267350.00,6582600,156336750.0,500
PK0074801017,AEL,Arshad Energy Limited. ,14.42,0.0,2400000,34608000.00,8000000,115360000.0,58500
PK0073801018,AGIC,Askari Gen Insurance Co. ,22.56,0.02,28760758,648842700.48,71901898,1622106818.88,0
PK0027701017,AGIL,Agriautos Industries Co. Ltd. ,226.0,0.09,18720000,4230720000.00,28800000,6508800000.0,200
PK0086301014,AGL,Agritech Limited ,4.43,0.02,215836500,956155695.00,392430000,1738464900.0,610500
PK0086302012,AGLNCPS,Agritech Ltd Non-Voting (Pref) Class A ,2.0,0.0,127467415,254934830.00,159334269,318668538.0,0
PK0113801010,AGP,AGP Limited. ,104.15,0.38,84000000,8748600000.00,280000000,29162000000.0,73500
PK0039601015,AGSML,Abdullah Shaha Ghazi Suger Mills Ltd. ,2.57,0.0,78519991,201796376.87,79261700,203702569.0,41500
PK0029501019,AGTL,Al-Ghazi Tractors Limited. ,367.0,0.28,3592772,1318547324.00,57964201,21272861767.0,3400
PK0077701016,AHCL,Arif Habib Corporation Ltd. ,39.7,0.21,81675000,3242497500.00,408375000,16212487500.0,1500
PK0088501017,AHL,Arif Habib Limited. ,58.0,0.05,17820000,1033560000.00,59400000,3445200000.0,54000
PK0050201018,AHTM,Ahmed Hassan Textile Mills Ltd. ,49.4,0.01,2161237,106765107.80,14408260,711768044.0,0
PK0004901010,AICL,Adamjee Insurance Co. Ltd.(XD) ,42.17,0.19,280000000,11807600000.00,350000000,14759500000.0,156500
PK0051301015,AKBL,Askari Bank Limited. ,18.0,0.3,378078054,6805404972.00,1260260180,22684683240.0,172500
PK0002901012,AKDCL,AKD Capital Limited. ,97.01,0.0,1253637,121615325.37,2507273,243230553.73,0
PK0073701010,AKGL,Al-Khair Gadoon Ltd. ,16.5,0.0,1000000,16500000.00,10000000,165000000.0,0
PK0066501013,ALAC,Askari Life Assurance Company Ltd. ,7.95,0.01,27543004,218966881.80,110172014,875867511.3,172500
PK0066503118,ALACR4,Askari Life Assurance Company Ltd.(R) ,0.24,0.0,-,-,40000000,9600000.0,431500
PK0014501016,ALNRS,Al-Noor Sugar Mills Ltd. ,46.95,0.01,9213166,432558143.70,20473755,961242797.25,0
PK0077001011,ALTN,Altern Energy Ltd. ,26.86,0.13,90845000,2440096700.00,363380000,9760386800.0,1500
PK0082601011,AMBL,Apna Microfinance Bank Limited. ,22.6,0.1,17199248,413469921.92,343984962,8269398486.48,0
PK0062301012,AMSL,Al-Mal Securities & Services L [ DEFAULTER SEGMENT ],0.62,0.0,1250000,775000.00,5000000,3100000.0,0
PK0092101010,AMTEX,Amtex Limited. [ DEFAULTER SEGMENT ],0.56,0.0,116743560,65376393.60,259430134,145280875.04,0
PK0075101011,ANL,Azgard Nine Limited. ,17.89,0.11,364057298,6512985061.22,485409731,8683980087.59,4531000
PK0075101029,ANLNV,Azgard Nine. (Non-Voting). ,7.0,0.0,1789682,12527774.00,5965608,41759256.0,0
PK0075102019,ANLPS,Azgard Nine (Pref) ,9.8,0.01,-,-,66125083,648025813.4,0
PK0044601018,ANSM,Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ],5.81,0.0,25261450,146769024.50,56136657,326153977.17,0
PK0037201016,ANTM,AN Textile Mills Ltd. ,10.92,0.0,1449000,15823080.00,9660000,105487200.0,0
PK0082901015,APL,Attock Petroleum Limited.(XD) ,345.06,0.45,24883200,8586196992.00,99532800,34344787968.0,4400
PK0039901019,APOT,Apollo Textile Mills Ltd. [ DEFAULTER SEGMENT ],29.52,0.0,131400,3878928.00,8284700,244564344.0,0
PK0088101016,ARM,Allied Rental Modaraba. ,12.25,0.04,11000000,134750000.00,220000000,2695000000.0,1000
PK0022201013,ARPAK,Arpak International Investment. ,121.5,0.01,400000,48600000.00,4000000,486000000.0,0
PK0076701017,ARPL,Archroma Pakistan Limited. ,568.5,0.26,8529470,4849003695.00,34118229,19396213186.5,6600
PK0062401010,ARUJ,Aruj Industries Limited. ,17.66,0.0,954496,16859358.30,10457890,184718756.86,0
PK0110401012,ASC,Al-Shaheer Corporation. ,20.14,0.05,149969415,3020384018.10,199959220,4027178690.8,2588500
PK0051201017,ASHT,Ashfaq Textile Mills Ltd. ,11.11,0.01,1749250,19434167.50,34985000,388683350.0,2000
PK0024401017,ASIC,Asia Insurance Company Ltd. ,17.12,0.01,18101217,309892835.04,60337391,1032976133.92,0
PK0092901013,ASL,Aisha Steel Mills Limited. ,16.18,0.16,267935256,4335192442.08,765529303,12386264122.54,11690000
PK0092902029,ASLCPS,Aisha Steel Mills Convertible Cumul ,42.0,0.0,2850970,119740740.00,2870083,120543486.0,0
PK0092902011,ASLPS,Aisha Steel Mills Convertibl  Pre-Sh ,18.27,0.01,19960676,364681550.52,44357057,810403431.39,1000
PK0100401014,ASTL,Amreli Steels Limited. ,42.59,0.17,74252857,3162429179.63,297011427,12649716675.93,3878500
PK0044701016,ASTM,Asim Textile Mills Ltd. ,8.4,0.0,2276550,19123020.00,15177000,127486800.0,32000
PK0011701015,ATBA,Atlas Battery Ltd. ,225.03,0.07,4871935,1096331533.05,24359676,5481657890.28,107300
PK0003301014,ATIL,Atlas Insurance Limited. ,56.6,0.06,16979054,961014456.40,84895279,4805072791.4,0
PK0009201010,ATLH,Atlas Honda Limited. ,440.0,0.72,12408794,5459869360.00,124087935,54598691400.0,3900
PK0024501014,ATRL,Attock Refinery Limited. ,140.9,0.2,42646500,6008891850.00,106616250,15022229625.0,1158000
PK0107501014,AVN,Avanceon Limited. ,67.65,0.19,58213012,3938110261.80,211790007,14327593973.55,3746000
PK0011601017,AWTX,Allawasaya Tex. & Finishing Mills. ,341.25,0.0,2751,938778.75,800000,273000000.0,0
PK0108901023,AWWAL,Awwal Modaraba.(XD) ,7.79,0.01,5000000,38950000.00,100000000,779000000.0,0
PK0078701015,BAFL,Bank Alfalah Ltd. ,34.97,0.82,710866048,24858985698.56,1777165119,62147464211.43,330099
PK0027901013,BAFS,Baba Faried Sugar Mills Ltd. ,36.57,0.0,472500,17279325.00,9450000,345586500.0,0
PK0051601018,BAHL,Bank Al-Habib Ltd. ,62.61,0.92,722426520,45231124417.20,1111425419,69586345483.59,884364
PK0026901014,BAPL,Bawany Air Products Ltd. [ DEFAULTER SEGMENT ],21.95,0.0,4501506,98808056.70,7502510,164680094.5,1000
PK0023001016,BATA,Bata Pakistan Ltd. ,1640.0,0.16,1766669,2897337160.00,7560000,12398400000.0,20
PK0029701015,BCL,Bolan Casting Ltd. ,61.0,0.01,5736265,349912165.00,11472529,699824269.0,0
PK0019001012,BCML,Babri Cotton Mills Ltd. ,53.48,0.0,1215519,65005956.12,3652178,195318479.44,0
PK0020401011,BERG,Berger Paints Pakistan Ltd. ,84.32,0.02,9206870,776323278.40,20459710,1725162747.2,16000
PK0036301015,BFMOD,B.F.Modaraba. ,5.2,0.0,1503032,7815766.40,7515158,39078821.6,0
PK0025801017,BGL,Baluchistan Glass Ltd. ,6.21,0.02,65400000,406134000.00,261600000,1624536000.0,284500
PK0036401013,BHAT,Bhanero Textile Mills Ltd. ,892.71,0.04,150000,133906500.00,3000000,2678130000.0,250
PK0062801011,BIFO,Bifo Industries Ltd. ,167.71,0.08,6969600,1168871616.00,34848000,5844358080.0,8300
PK0074001014,BIIC,Business & Industrial Insuranc [ DEFAULTER SEGMENT ],3.6,0.0,3849469,13858088.40,8554376,30795753.6,0
PK0045101018,BILF,Bilal Fibres Ltd. [ DEFAULTER SEGMENT ],1.39,0.0,11915232,16562172.48,14100000,19599000.0,1000
PK0084801015,BIPL,Bankislami Pakistan Ltd. ,9.91,0.14,277175825,2746812425.75,1108703299,10987249693.09,518000
PK0090801017,BIPLS,BIPL Securities Ltd. ,10.37,0.01,23031240,238833958.80,100000000,1037000000.0,0
PK0015701011,BNL,Bunnys Limited ,50.2,0.03,334139,16773777.80,51388669,2579711183.8,34000
PK0051701016,BNWM,Bannu Woollen Mills Limited. ,37.05,0.0,4277813,158492971.65,9506250,352206562.5,19500
PK0085401013,BOK,The Bank of Khyber. ,13.99,0.18,50018558,699759626.42,1000371168,13995192640.32,2500
PK0045001010,BOP,Bank Of Punjab. ,9.25,0.32,1115986617,10322876207.25,2643692380,24454154515.0,14270500
PK0024601012,BPBL,Baluchistan Particle Board Ltd [ DEFAULTER SEGMENT ],17.31,0.0,2100000,36351000.00,6000000,103860000.0,0
PK0025901015,BPL,Burshane LPG (Pakistan) Limited. ,30.0,0.01,6792013,203760390.00,22640044,679201320.0,5500
PK0029601017,BRR,B.R.R. Guardian Modaraba. ,10.78,0.01,51817358,558591119.24,86362263,930985195.14,0
PK0045201016,BTL,Bleesed Textile Ltd. ,268.74,0.02,964800,259280352.00,6432000,1728535680.0,0
PK0031201012,BUXL,Buxly Paints Ltd. ,53.15,0.0,576000,30614400.00,1440000,76536000.0,3500
PK0077601018,BWCL,Bestway Cement Limited. ,151.87,1.19,29812639,4527645484.93,596252783,90552910154.21,13000
PK0062601015,BWHL,Baluchistan Wheels Ltd. ,80.0,0.01,6000413,480033040.00,13334250,1066740000.0,0
PK0078401012,BYCO,BYCO Petroleum Pak Ltd. ,9.95,0.7,532988471,5303235286.45,5329884706,53032352824.7,6653000
PK0009501013,CCM,Crescent Cotton Mills Limited. ,26.55,0.01,13596076,360975817.80,22660123,601626265.65,7000
PK0036501010,CENI,Century Insurance Co.Ltd. ,22.44,0.01,12574201,282165070.44,50296803,1128660259.32,0
PK0040301019,CEPB,Century Paper & Board Mills.(XD)(XB) ,96.37,0.22,51456421,4958855291.77,176422014,17001789489.18,446000
PK0023101014,CFL,Crescent Fibres Limited. ,35.1,0.01,4346257,152553620.70,12417876,435867447.6,0
PK0045301014,CHAS,Chashma Sugar Mills Ltd. ,92.0,0.03,4303800,395949600.00,28692000,2639664000.0,1000
PK0082201010,CHBL,Chenab Limited [ DEFAULTER SEGMENT ],2.41,0.0,38259738,92205968.58,115000000,277150000.0,0
PK0029801013,CHCC,Cherat Cement Co. Ltd. ,124.34,0.32,106862271,13287254776.14,194295038,24158645024.92,985500
PK0009401016,CJPL,Crescent Jute Products Ltd. [ DEFAULTER SEGMENT ],3.4,0.0,8317214,28278527.60,23763468,80795791.2,0
PK0082202018,CLCPS,Chenab Limited Preference Shares. [ DEFAULTER SEGMENT ],1.0,0.0,78285961,78285961.00,80000000,80000000.0,0
PK0036601018,CLOV,Clover Pakistan Limited. ,87.51,0.04,9342918,817598754.18,31143059,2725329093.09,118000
PK0028001011,COLG,Colgate Palmolive (Pak) Ltd.(XB) ,2834.0,2.36,6330051,17939364534.00,63300512,179393651008.0,0
PK0059201019,CPAL,Capital Assets Leasing Corp. [ DEFAULTER SEGMENT ],5.51,0.0,1611662,8880257.62,10744413,59201715.63,0
PK0045501019,CPPL,Cherat Packaging Limited. ,180.22,0.1,25504101,4596349082.22,42506836,7660581983.92,19300
PK0003901011,CRTM,Crescent Textile Mills Ltd. ,19.5,0.02,28000000,546000000.00,80000000,1560000000.0,105500
PK0032101013,CSAP,Crescent Steel & Allied Product. ,70.56,0.07,31052996,2191099397.76,77632491,5477748564.96,103000
PK0003001010,CSIL,Cresent Star Insurance Ltd. ,2.85,0.0,104898538,298960833.30,107695041,306930866.85,808000
PK0108401016,CTM,Colony Textile Mills Ltd. ,3.48,0.02,49800996,173307466.08,498010000,1733074800.0,32500
PK0040401017,CWSM,Chakwal Spinning Mills Limited. ,2.1,0.0,25665521,53897594.10,121576200,255310020.0,44500
PK0004301013,CYAN,Cyan Limited. ,32.0,0.03,9233866,295483712.00,61558963,1969886816.0,19500
PK0063301011,DAAG,Data Agro Limited ,10.2,0.0,800000,8160000.00,4000000,40800000.0,0
PK0004401011,DADX,Dadex Eternit Ltd. ,30.24,0.0,538200,16275168.00,10764000,325503360.0,0
PK0045901011,DATM,Data Textile Ltd. [ DEFAULTER SEGMENT ],0.5,0.0,1486442,743221.00,9909600,4954800.0,0
PK0017501013,DAWH,Dawood Hercules Corporation Ltd. ,125.31,0.79,312836625,39201557478.75,481287116,60310088505.96,19700
PK0052501019,DBCI,Dadabhoy Cement Industries Ltd [ DEFAULTER SEGMENT ],3.12,0.0,29280889,91356373.68,98236644,306498329.28,0
PK0074301018,DBSL,Dadabhoy Sack Ltd. [ DEFAULTER SEGMENT ],7.0,0.0,114000,798000.00,4000000,28000000.0,0
PK0038101017,DCL,Dewan Cement Limited. ,9.69,0.06,121028336,1172764575.84,484113343,4691058293.67,1854000
PK0099001023,DCR,Dolmen City REIT. ,10.97,0.32,555925000,6098497250.00,2223700000,24393989000.0,36000
PK0092401014,DEL,Dawood Equities Ltd. ,5.65,0.0,11250000,63562500.00,25000000,141250000.0,0
PK0077301015,DFML,Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],7.13,0.01,55494097,395672911.61,138735242,989182275.46,126000
PK0083401015,DFSM,Dewan Farooque Spinning Mills Ltd. ,1.87,0.0,34212754,63977849.98,97750726,182793857.62,2000
PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,109.58,0.63,219059559,24004546475.22,438119097,48009090649.26,2291871
PK0070001018,DIIL,Dimond Industries Ltd. [ DEFAULTER SEGMENT ],24.64,0.0,1350000,33264000.00,9000000,221760000.0,0
PK0046101017,DINT,Din Textile Mills Ltd. ,45.66,0.03,2623337,119781567.42,52466750,2395631805.0,0
PK0074701019,DKL,Drekkar Kingsway Ltd. [ DEFAULTER SEGMENT ],6.53,0.0,9619708,62816693.24,10000000,65300000.0,146000
PK0023201012,DKTM,Dewan Khalid Textile Mills Ltd. [ DEFAULTER SEGMENT ],0.94,0.0,1922152,1806822.88,9610759,9034113.46,0
PK0001201018,DLL,Dawood Lawrencepur Ltd.(XD) ,190.0,0.15,8894971,1690044490.00,59299809,11266963710.0,900
PK0010301015,DMIL,D. M. Industries Limited. ,33.51,0.0,915729,30686078.79,3052400,102285924.0,0
PK0017601011,DMTM,Dewan Mushtaq Textile Mills Ltd. [ DEFAULTER SEGMENT ],0.79,0.0,1156103,913321.37,11561028,9133212.12,0
PK0036801014,DNCC,Dandot Cement Co. Ltd. [ DEFAULTER SEGMENT ],7.81,0.01,28451994,222210073.14,94840000,740700400.0,38000
PK0093401013,DOL,Descon Oxychem Ltd.(XDXB) ,36.54,0.08,37722217,1378369809.18,175031084,6395635809.36,362000
PK0070101016,DOMF,Dominion Stock Fund [ DEFAULTER SEGMENT ],0.34,0.0,2500000,850000.00,5000000,1700000.0,0
PK0046001019,DSFL,Dewan Sulman Fibre Ltd. [ DEFAULTER SEGMENT ],0.88,0.0,146528433,128945021.04,366321085,322362554.8,0
PK0084501011,DSIL,D. S. Industries Ltd. ,2.24,0.0,58579942,131219070.08,83685631,187455813.44,146000
PK0091301017,DSL,Dost Steels Ltd. [ DEFAULTER SEGMENT ],4.29,0.02,236800395,1015873694.55,315733860,1354498259.4,199500
PK0052701015,DSML,Dar-es-Salam Textile Mills Ltd [ DEFAULTER SEGMENT ],7.5,0.0,1600000,12000000.00,8000000,60000000.0,0
